account_value,date,daily_return
795497.6800676129,2022-10-04,
793658.5689278729,2022-10-05,-0.0023119000668658796
784723.2881101697,2022-10-06,-0.011258343534013115
771143.080853082,2022-10-07,-0.01730572733452651
768185.9205082334,2022-10-10,-0.0038347751776197647
765701.9223721556,2022-10-11,-0.003233589772687284
765912.5969784788,2022-10-12,0.00027513918950416993
787604.2054760985,2022-10-13,0.02832125830439769
774378.7525647215,2022-10-14,-0.016792003927127763
788346.020955377,2022-10-17,0.018036740218396075
799021.6627095274,2022-10-18,0.013541822334833142
798969.7619565062,2022-10-19,-6.49553766104427e-05
794891.3493817381,2022-10-20,-0.0051045893962005096
821317.0513508848,2022-10-21,0.03324442012068762
828864.4124920897,2022-10-24,0.009189339401624697
839941.1671116881,2022-10-25,0.013363771507929334
847210.1380017332,2022-10-26,0.008654142902700057
858470.2736638121,2022-10-27,0.013290841500831707
877674.065373712,2022-10-28,0.022369780642422565
874765.609628015,2022-10-31,-0.0033138221356222575
874898.3755009703,2022-11-01,0.00015177308240521548
857521.2909443907,2022-11-02,-0.019861832006065172
854353.6345532469,2022-11-03,-0.0036939682134949914
867216.5877507261,2022-11-04,0.015055771611723223
874668.136807733,2022-11-07,0.008592489076268306
878500.4536107115,2022-11-08,0.004381452395151086
854949.3776600889,2022-11-09,-0.026808268400802304
888812.5044034056,2022-11-10,0.039608341298518424
898180.0164540343,2022-11-11,0.010539356730716154
897943.7845089964,2022-11-14,-0.0002630118024340433
900546.5535061888,2022-11-15,0.0028985879095044798
894139.0600140623,2022-11-16,-0.007115116333719307
891311.2172711424,2022-11-17,-0.0031626431160221014
893883.3126957945,2022-11-18,0.0028857433574400737
898438.082372003,2022-11-21,0.005095485743516148
908926.9156811766,2022-11-22,0.011674519941854644
914191.0044682554,2022-11-23,0.005791542418054352
915999.651601129,2022-11-25,0.0019784127431066167
904473.8054593138,2022-11-28,-0.012582806250710399
905028.1531689696,2022-11-29,0.0006128952616535344
922408.3147023253,2022-11-30,0.019204000972233626
917388.0485280089,2022-12-01,-0.005442563877946505
917727.6435406737,2022-12-02,0.00037017597210864395
899631.6036809019,2022-12-05,-0.01971831184027062
885381.1912739805,2022-12-06,-0.01584027545121236
884350.4499409727,2022-12-07,-0.001164178032204033
887603.7974484495,2022-12-08,0.0036787989509068364
882762.5938351683,2022-12-09,-0.005454239410870088
897122.894116693,2022-12-12,0.0162674544456356
903297.339844995,2022-12-13,0.006882497112484565
897543.765057855,2022-12-14,-0.006369524776998925
877046.735673242,2022-12-15,-0.02283680215113726
872003.3040783934,2022-12-16,-0.0057504707442724845
866313.5484784178,2022-12-19,-0.006524924359075701
869584.6803334288,2022-12-20,0.0037759213863806096
886162.8370373778,2022-12-21,0.019064453501632883
877905.7601407103,2022-12-22,-0.009317787376722508
881827.0365231566,2022-12-23,0.004466625645351385
882970.7454274229,2022-12-27,0.0012969764555821328
872751.4281590513,2022-12-28,-0.011573789189838535
882788.2019818358,2022-12-29,0.011500151702937389
880113.5686581663,2022-12-30,-0.003029756534653427
885543.1092846922,2023-01-03,0.00616913637043881
